Player,Market Value
Brenden Aaronson,€18.00m
Yunis Abdelhamid,€300k
Himad Abdelli,€7.00m
Salis Abdul Samed,€4.50m
Laurent Abergel,€2.00m
Oliver Abildgaard,€500k
Matthis Abline,€20.00m
Abner,€10.00m
Zakaria Aboukhlal,€7.50m
Tammy Abraham,€20.00m
Francesco Acerbi,€2.50m
Mohamed Achi,€150k
Marcos Acuña,€1.20m
Che Adams,€8.50m
Tyler Adams,€25.00m
Sargis Adamyan,€300k
Tosin Adarabioyo,€18.00m
Martin Adeline,€5.00m
Karim Adeyemi,€50.00m
Amine Adli,€20.00m
Yacine Adli,€9.00m
Michel Aebischer,€4.50m
Felix Afena-Gyan,€1.40m
Emmanuel Agbadou,€18.00m
Lucien Agoume,€12.00m
Felix Agu,€6.00m
Álvaro Aguado,€500k
Kevin Agudelo,€3.70m
Nayef Aguerd,€20.00m
Ruben Aguilar,€3.00m
Naouirou Ahamada,€3.50m
Amar Ahmed,-
Jean-Eudes Aholou,€1.50m
Joseph Aidoo,€1.00m
Ola Aina,€20.00m
Kristoffer Ajer,€18.00m
Ludovic Ajorque,€3.50m
Manuel Akanji,€18.00m
Nathan Aké,€15.00m
Sergio Akieme,€5.00m
Maghnes Akliouche,€50.00m
Paul Akouokou,€500k
Kevin Akpoguma,€2.00m
David Alaba,€3.50m
Tomás Alarcón,€500k
Lucas Alario,€350k
Jordi Alba,-
Luis Alberto,€1.50m
Raúl Albiol,€800k
Marc Albrighton,-
Thiago Alcántara,-
Carlos Alcaraz,€15.00m
Rubén Alcaraz,€400k
Omar Alderete,€15.00m
Iván Alejo,€1.00m
Carles Aleñá,€3.50m
Trent Alexander-Arnold,€65.00m
Alejandro Alfaro,-
Ángel Algobia,€600k
Mohamed Ali Cho,€15.00m
Faride Alidou,€800k
Alisson,€17.00m
Jim Allevinah,€1.20m
Dele Alli,€1.00m
Domingos André Ribeiro Almeida,€7.50m
Miguel Almirón,€9.00m
Marcos Alonso,€1.40m
Mickaël Alphonse,-
Carlos Álvarez,€15.00m
Gastón Álvarez,€8.00m
Julián Álvarez,€90.00m
Agustín Álvarez Martínez,€2.80m
Yeray Álvarez,€1.00m
Ibrahim Amadou,€650k
Daniel Amartey,€500k
Amath,€800k
Jordan Amavi,€750k
Kelvin Amian,€2.50m
Bruno Amione,€2.50m
Nadiem Amiri,€17.00m
Ethan Ampadu,€25.00m
Sofyan Amrabat,€12.00m
Joachim Andersen,€25.00m
Elliot Anderson,€60.00m
Felipe Anderson,€2.00m
Benjamin André,€4.00m
Komnen Andri?,€700k
Robert Andrich,€7.00m
Angeliño,€10.00m
