Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,Goals,SoT,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasMedCmp,PasMedAtt,PasLonCmp,PasLonAtt,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToTkl,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,OG,Recov,AerWon,AerLost,Market Value,Market Value Euros,90s,SoT%,PasTotCmp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,TklDri%,ToSuc%,ToTkl%,AerWon%,Market Value Log,Goals_per90,Assists_per90,SCA_per90,GCA_per90,PasProg_per90,Carries_per90,Tkl_per90,Int_per90,Age_Premium,Superstar_Index,Elite_Market_Signal,Potential_Score
?ukasz Fabia?ski,POL,GK,West Ham,Premier League,37,22,22,1873,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,27.3,556.4,435.7,3.7,3.7,6.68,6.73,7.4,16.6,0.0,0.0,0.38,0.0,0.0,0.0,27.3,18.1,9.04,2.45,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,17.9,0.14,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,29.3,25.8,29.2,0.1,0.0,0.0,29.3,0.0,0.0,0.0,15.4,101.5,68.5,0.0,0.0,0.0,0.05,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.48,0.48,0.05,€250k,250000.0,20.81111111111111,0.0,65.56776556776556,100.0,99.25705794947993,44.57831325301205,0.0,0.0,0.0,90.56603773584905,12.429220196836383,0.0,0.0,0.004805125467164976,0.0,0.0,0.7399893219434064,0.0,0.0,1.0,0.0009610250934329953,0.0009610250934329953,4
?ukasz Por?ba,POL,MF,Lens,Ligue 1,22,7,3,247,0,0.0,0.0,0.0,17.1,0.0,0.0,0.0,40.0,48.5,633.0,187.0,18.1,21.5,16.3,18.9,2.96,4.44,0.37,1.85,4.44,1.85,0.74,6.67,48.5,48.1,0.37,0.37,0.0,0.0,2.22,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.37,3.33,2.96,0.0,0.0,0.0,0.0,0.37,0.74,0.37,0.0,0.0,0.0,0.0,0.37,1.85,1.48,0.74,0.37,0.74,0.74,1.11,0.37,1.11,0.0,1.11,1.11,2.96,0.74,0.0,57.8,1.11,6.3,30.7,20.7,0.37,57.8,0.74,0.37,0.37,43.0,213.7,76.3,1.11,2.96,0.0,1.85,0.37,40.7,6.67,0.37,0.0,0.0,2.96,0.74,0.0,2.22,1.48,0.0,0.0,4.07,0.74,0.37,€2.00m,2000000.0,2.7444444444444445,0.0,82.4742268041237,84.18604651162791,86.24338624338625,66.66666666666666,66.66666666666666,50.0,50.0,66.66666666666667,14.508658238524095,0.0,0.13481781376518218,1.2133603238866397,0.26963562753036435,2.4303643724696355,15.668016194331983,0.6740890688259109,0.4044534412955466,1.8,0.5531174089068827,0.9956113360323888,7
?ukasz Skorupski,POL,GK,Bologna,Serie A,31,21,21,1890,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,34.2,706.6,494.6,4.9,4.95,11.6,11.8,8.62,16.1,0.0,0.0,0.0,0.0,0.0,0.0,34.2,24.0,10.1,2.86,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,26.4,0.14,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.62,0.05,36.8,33.0,36.6,0.19,0.0,0.0,36.8,0.0,0.0,0.0,19.3,99.3,67.7,0.0,0.0,0.0,0.05,0.0,15.6,0.0,0.14,0.0,0.0,0.0,0.24,0.0,0.0,0.05,0.0,0.0,1.14,0.19,0.0,€2.50m,2500000.0,21.0,0.0,77.19298245614034,98.98989898989899,98.3050847457627,53.54037267080744,100.0,0.0,0.0,100.0,14.731801689838349,0.0,0.0,0.004761904761904762,0.0,0.0,0.9190476190476191,0.002380952380952381,0.0,1.0,0.0009523809523809525,0.0009523809523809525,4
?órir Jóhann Helgason,ISL,MF,Lecce,Serie A,22,7,2,154,0,0.0,0.0,0.0,32.3,0.59,0.0,0.0,20.6,28.2,381.2,164.7,8.24,11.2,8.24,9.41,3.53,6.47,0.0,1.76,0.59,0.0,0.0,1.18,28.2,23.5,4.71,0.59,0.0,0.0,5.29,0.0,3.53,2.94,0.59,0.0,20.6,0.0,0.0,2.35,1.18,1.18,0.0,0.0,0.0,0.0,0.59,0.59,0.0,0.0,0.0,0.0,0.0,0.59,0.59,0.0,0.0,0.59,0.59,0.59,0.0,0.59,0.0,0.59,1.18,1.76,1.18,0.0,35.9,2.35,10.0,13.5,13.5,0.0,35.9,0.0,0.0,0.0,15.3,58.8,25.3,0.59,1.18,0.0,1.76,0.59,16.5,0.0,0.0,0.0,0.0,1.18,0.59,0.0,5.29,0.59,0.0,0.0,4.71,0.0,1.76,€2.30m,2300000.0,1.711111111111111,0.0,73.04964539007092,73.57142857142858,87.56641870350691,54.559505409582684,100.0,0.0,0.0,0.0,14.648420115681892,0.0,0.0,1.3733766233766236,0.3448051948051948,0.6896103896103896,8.941558441558442,0.3448051948051948,0.6896103896103896,1.8,0.3953571428571429,0.7116428571428572,7
Aaron Cresswell,ENG,DF,West Ham,Premier League,33,18,17,1533,0,0.06,0.0,0.0,22.8,0.18,0.0,0.0,50.8,63.9,819.1,377.8,28.6,30.5,17.4,21.7,4.24,8.47,0.0,1.76,4.41,1.41,0.76,6.94,63.9,51.6,12.2,1.76,0.06,0.24,5.94,8.24,2.18,0.12,1.71,0.06,50.8,0.12,1.47,3.12,2.06,1.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.41,0.47,0.35,0.0,0.35,0.94,0.59,1.0,0.47,0.53,1.18,2.0,2.35,0.0,70.8,3.71,21.8,30.4,18.9,0.47,70.8,0.35,0.12,0.18,33.5,151.6,74.4,1.59,1.24,0.06,0.24,0.35,43.3,4.06,0.12,0.0,0.0,0.47,0.29,0.06,5.94,0.41,0.0,0.0,4.71,1.41,1.18,€450k,450000.0,17.033333333333335,0.0,79.49921752738653,93.77049180327869,80.18433179723502,50.05903187721369,37.234042553191486,34.285714285714285,51.42857142857144,54.440154440154444,13.017005083966255,0.0,0.0,0.18317025440313112,0.0,0.40743639921722113,1.9667318982387474,0.04814090019569471,0.06927592954990214,1.0,0.07737769080234834,0.07737769080234834,4
Aaron Hickey,SCO,DF,Brentford,Premier League,20,10,9,739,0,0.12,0.0,0.0,21.0,0.0,0.0,0.0,31.2,38.5,452.9,134.3,19.1,21.2,10.1,12.3,1.22,3.05,0.0,0.12,3.05,0.61,0.12,3.9,38.5,34.4,4.15,0.73,0.0,0.12,1.59,3.41,0.0,0.0,0.0,0.0,31.2,0.0,0.85,0.85,0.61,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,1.71,1.34,0.98,0.0,0.98,1.95,0.98,1.22,0.49,0.73,1.34,3.66,1.34,0.0,49.3,2.68,12.9,25.9,11.0,1.1,49.3,3.05,0.85,1.34,30.2,160.6,98.7,2.68,0.85,0.0,0.85,0.49,30.7,3.05,0.49,0.0,0.0,0.85,2.07,0.0,1.59,1.71,0.0,0.0,4.39,0.49,0.73,€16.00m,16000000.0,8.21111111111111,0.0,81.03896103896103,90.09433962264151,82.11382113821138,40.0,50.256410256410255,27.868852459016395,43.9344262295082,40.16393442622951,16.588099342704055,0.0,0.0,0.10351826792963464,0.0,0.47496617050067663,3.677943166441137,0.28254397834912043,0.16319350473612992,1.8,0.0682002706359946,0.12276048714479028,10
Aaron Ramsdale,ENG,GK,Arsenal,Premier League,24,21,21,1890,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,28.9,500.1,353.0,5.05,5.29,8.52,8.67,5.62,14.8,0.0,0.0,0.86,0.1,0.0,0.24,28.9,22.7,6.1,2.24,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,19.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.62,0.19,31.0,22.4,30.4,0.57,0.0,0.0,31.0,0.05,0.05,0.0,19.0,106.9,68.1,0.0,0.05,0.0,0.0,0.0,15.9,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.05,0.0,0.0,0.67,0.14,0.0,€12.00m,12000000.0,21.0,0.0,66.43598615916954,95.46313799621929,98.26989619377161,37.972972972972975,100.0,100.0,0.0,100.0,16.300417291085605,0.0,0.0,0.004761904761904762,0.0,0.011428571428571429,0.9047619047619048,0.002380952380952381,0.0,1.4,0.0020952380952380953,0.0029333333333333334,7
Aaron Wan-Bissaka,ENG,DF,Manchester Utd,Premier League,25,8,7,609,0,0.0,0.0,0.0,25.9,0.0,0.0,0.0,39.7,48.4,546.8,193.2,27.2,29.3,9.71,12.9,1.76,2.65,0.0,0.88,3.24,0.44,0.29,2.94,48.4,40.9,7.35,0.44,0.0,0.29,1.32,6.91,0.0,0.0,0.0,0.0,39.7,0.15,1.18,1.76,1.76,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,2.65,1.91,1.91,0.74,0.0,1.47,1.62,0.15,1.03,0.15,0.88,1.91,4.56,2.65,0.0,59.4,3.97,18.7,24.3,16.8,1.91,59.4,1.62,0.74,0.88,29.7,154.4,82.8,2.35,1.47,0.29,1.18,0.74,32.9,3.38,0.0,0.0,0.0,0.59,0.15,0.0,1.32,1.91,0.0,0.0,5.15,0.74,1.03,€22.00m,22000000.0,6.766666666666667,0.0,82.02479338842976,92.83276450511944,75.27131782945737,66.41509433962266,90.74074074074073,45.67901234567901,54.32098765432099,41.80790960451977,16.906553056777135,0.0,0.0,0.2600985221674877,0.022167487684729065,0.43448275862068964,4.389162561576355,0.39162561576354676,0.2822660098522167,1.4,0.09879310344827587,0.1383103448275862,4
Aaron Zehnter,GER,DF,Augsburg,Bundesliga,18,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,€6.00m,6000000.0,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.607270193858982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1.8,0.0,0.0,10
Aarón Martín,ESP,DF,Mainz 05,Bundesliga,25,17,17,1421,3,0.25,12.0,12.0,25.6,0.38,0.0,0.06,38.7,51.0,633.2,252.3,20.0,21.7,14.1,17.8,3.48,8.42,0.13,1.33,3.8,1.46,0.89,4.43,51.0,35.8,15.0,2.03,0.0,0.19,7.34,10.1,2.91,2.15,0.7,0.0,38.7,0.19,1.27,2.91,1.96,0.82,0.06,0.06,0.0,0.0,0.19,0.13,0.06,0.0,0.0,0.0,0.0,2.03,1.39,1.2,0.57,0.25,1.01,1.33,0.32,0.89,0.06,0.82,0.76,2.78,1.33,0.0,58.5,2.09,13.6,26.4,19.2,0.7,58.4,1.01,0.57,0.38,28.5,141.9,62.3,1.33,0.95,0.06,0.51,0.76,30.8,3.29,0.06,0.0,0.0,1.08,0.51,0.13,7.34,1.39,0.0,0.0,4.43,0.06,0.44,€7.00m,7000000.0,15.78888888888889,8.333333333333332,75.88235294117648,92.16589861751152,79.2134831460674,41.33016627078385,75.93984962406014,56.43564356435643,37.62376237623762,12.0,15.76142084987672,0.19000703729767768,0.008233638282899367,0.18430682617874736,0.01203377902885292,0.2805770584095707,1.805066854327938,0.12857142857142856,0.04813511611541168,1.4,0.13487332864180154,0.18882266009852214,4
